college_name,college_link,duration,fees,rank,placement,c_type
"Hindustan Institute of Technology and Science, Chennai",https://www.collegesearch.in/university/hindustan-university-chennai,4 Years,"Rs 4,40,000/-",,"Average -Rs.
                                4.8 L.P.A/-Highest -Rs.
                                15 L.P.A/-",State Private University
"University College of Engineering (UCE), Hyderabad",https://www.collegesearch.in/colleges/university-college-of-engineering-uce-hyderabad,4 Years,"Rs 2,50,000/-",,,
"PEC University of Technology, Chandigarh",https://www.collegesearch.in/university/pec-university-of-technology-chandigarh,4 Years,"Rs 4,96,000/-",,"Average -Rs.
                                6 L.P.A/-Highest -Rs.
                                16 L.P.A/-",Deemed
"KL University (KLU), Guntur",https://www.collegesearch.in/university/k-l-university-klu-guntur,4 Years,"Rs 9,15,000/-",,"Average -Rs.
                                5 L.P.A/-Highest -Rs.
                                28 L.P.A/-",Deemed
"JNTUA College of Engineering - Anantapura, Ananthapur",https://www.collegesearch.in/colleges/jntua-college-of-engineering-anantapura,4 Years,"Rs 55,400/-",,,
"Government College of Engineering & Ceramic Technology, Kolkata",https://www.collegesearch.in/colleges/government-college-of-engineering-ceramic-technology-kolkata,4 Years,"Rs 48,000/-",,,
"Indian Institute of Technology (IIT), Mandi",https://www.collegesearch.in/colleges/indian-institute-of-technology-iit-mandi,4 Years,"Rs 9,83,750/-",,"Average -Rs.
                                13.14 L.P.A/-Highest -Rs.
                                26.4 L.P.A/-",Autonomous
"Shri Govindram Seksaria Institute of Technology, Indore",https://www.collegesearch.in/colleges/shri-govindram-seksaria-institute-of-technology-indore,4 Years,,,,
"Visvesvaraya National Institute of Technology (VNIT), Nagpur",https://www.collegesearch.in/colleges/visvesvaraya-national-institute-of-technology-vnit-nagpur,4 Years,"Rs 1,66,140/-",,"Average -Rs.
                                5 L.P.A/-Highest -Rs.
                                12 L.P.A/-",Autonomous
"Institute of Engineering & Technology (IET), Lucknow",https://www.collegesearch.in/colleges/institute-of-engineering-technology-iet-lucknow,4 Years,"Rs 2,50,300/-",,"Average -Rs.
                                5 L.P.A/-",
"Christ University (CU), Bangalore",https://www.collegesearch.in/university/christ-university-cu-bangalore,4 Years,"Rs 7,90,000/-",,"Average -Rs.
                                6.5 L.P.A/-Highest -Rs.
                                14 L.P.A/-",Deemed
"Government College of Engineering, Amravati",https://www.collegesearch.in/colleges/government-college-of-engineering-amravati,4 Years,"Rs 60,000/-",,,
"National Institute of Technology (NIT), Raipur",https://www.collegesearch.in/colleges/national-institute-of-technology-nit-raipur,4 Years,"Rs 2,40,000/-",,,Autonomous
"National Institute of Technology (NIT), Delhi",https://www.collegesearch.in/colleges/national-institute-of-technology-nit-delhi,4 Years,"Rs 6,61,200/-",,"Average -Rs.
                                4.0 L.P.A/-",Autonomous
"National Institute of Technology (NIT), Delhi",https://www.collegesearch.in/colleges/national-institute-of-technology-nit-delhi,4 Years,"Rs 6,61,200/-",,"Average -Rs.
                                4.0 L.P.A/-",Autonomous
"Institute of Engineering & Technology (IET), Lucknow",https://www.collegesearch.in/colleges/institute-of-engineering-technology-iet-lucknow,4 Years,"Rs 2,50,300/-",,"Average -Rs.
                                5 L.P.A/-",
"Faculty of Engineering & Technology - Jamia Millia Islamia, Delhi",https://www.collegesearch.in/colleges/faculty-of-engineering-technology-jamia-millia-islamia-delhi,4 Years,"Rs 85,780/-",,,
"Laxminarayan Institute of Technology (LIT), Nagpur",https://www.collegesearch.in/colleges/laxminarayan-institute-of-technology-lit-nagpur,4 Years,,,,
"National Institute of Technology (NIT) - Uttarakhand, Srinagar Garhwal",https://www.collegesearch.in/colleges/national-institute-of-technology-nit-uttarakhand-srinagar-garhwal,4 Years,"Rs 2,57,301/-",,,Autonomous
"National Institute of Technology (NIT) - Puducherry, Karaikal",https://www.collegesearch.in/colleges/national-institute-of-technology-nit-puducherry-karaikal,4 Years,"Rs 2,01,464/-",,,Autonomous
"Government College of Engineering, Kannur",https://www.collegesearch.in/colleges/government-college-of-engineering-kannur,4 Years,"Rs 16,600/-",,"Average -Rs.
                                3.0 L.P.A/-",
"University BDT College of Engineering, Davangere",https://www.collegesearch.in/colleges/university-bdt-college-of-engineering-davangere,4 Years,,,,
National Institute of Technology (NIT) - Goa,https://www.collegesearch.in/colleges/national-institute-of-technology-nit-goa,4 Years,"Rs 3,45,300/-",,,Autonomous
"Indian Institute of Space Science and Technology, Thiruvananthapuram",https://www.collegesearch.in/university/indian-institute-of-space-science-and-technology-thiruvananthapuram,4 Years,"Rs 3,87,200/-",,,Deemed
"National Institute of Technology (NIT), Durgapur",https://www.collegesearch.in/colleges/national-institute-of-technology-nit-durgapur,4 Years,"Rs 2,66,400/-",,"Average -Rs.
                                4 L.P.A/-Highest -Rs.
                                13 L.P.A/-",Autonomous
"College of Technology - Pantnagar, Nainital",https://www.collegesearch.in/colleges/college-of-technology-pantnagar,4 Years,,,,
"Government Engineering College (GECT), Thrissur",https://www.collegesearch.in/colleges/government-engineering-college-gect-thrissur,4 Years,"Rs 16,000/-",,,
"Maulana Azad National Institute of Technology (MANIT), Bhopal",https://www.collegesearch.in/colleges/maulana-azad-national-institute-of-technology-manit-bhopal,4 Years,"Rs 2,33,052/-",,"Average -Rs.
                                3.5 L.P.A/-Highest -Rs.
                                24 L.P.A/-",Autonomous
"Thiagarajar College of Engineering, Madurai",https://www.collegesearch.in/colleges/thiagarajar-college-of-engineering-madurai,4 Years,"Rs 2,66,600/-",,"Average -Rs.
                                3.00 L.P.A/-",
"SSN College of Engineering (SSNCE), Chennai",https://www.collegesearch.in/colleges/ssn-college-of-engineering-ssnce,4 Years,"Rs 1,80,000/-",,,
"RV College of Engineering, Bangalore",https://www.collegesearch.in/colleges/rv-college-of-engineering-rvce-bangalore,4 Years,"Rs 1,32,000/-",,"Average -Rs.
                                4.5 L.P.A/-Highest -Rs.
                                11 L.P.A/-",
"Government College of Technology (GCT), Coimbatore",https://www.collegesearch.in/colleges/government-college-of-technology-gct-coimbatore,4 Years,"Rs 36,720/-",,,Autonomous
"University of Petroleum and Energy Studies (UPES), Dehradun",https://www.collegesearch.in/university/university-of-petroleum-and-energy-studies-upes-dehradun,4 Years,"Rs 15,72,000/-",,"Average -Rs.
                                5.3 L.P.A/-Highest -Rs.
                                17 L.P.A/-",
"Harcourt Butler Technological University (HBTU), Kanpur",https://www.collegesearch.in/university/harcourt-butler-technological-university-hbtu-kanpur,4 Years,"Rs 3,77,200/-",,"Average -Rs.
                                3 L.P.A/-Highest -Rs.
                                9 L.P.A/-",
"Maulana Azad National Institute of Technology (MANIT), Bhopal",https://www.collegesearch.in/colleges/maulana-azad-national-institute-of-technology-manit-bhopal,4 Years,"Rs 2,33,052/-",,"Average -Rs.
                                3.5 L.P.A/-Highest -Rs.
                                24 L.P.A/-",Autonomous
